camera_ID,hab_type,habitat_cover,trap_rate_hog,trap_rate_fox,bin_density_200m,bin_dens_200m,count_hog,count_fox,survey_effort
1,Human Structure,Open,0,0.299916623,7,0.095308231,0,6,20.00556
3,Hedgerows,Open,0.228438475,6.167838823,3,0.050985371,3,81,13.13263889
4,Human Structure,Closed,0,2.66723116,4,0.053064693,0,35,13.12222222
5,Hedgerows,Open,0.076238882,1.372299873,6,0.036421781,1,18,13.11666667
6,Amenity Grassland,Open,0.153036824,1.453849833,9,0.108437608,2,19,13.06875
7,Broadleaved Woodland,Closed,1.37689243,6.272509959,9,0.099724082,18,82,13.07291667
8,Human Structure,Open,1.305604352,0.652802176,3,0.019629669,16,8,12.25486111
9,Amenity Grassland,Open,0,0.307363927,8,0.097781208,0,1,3.253472222
10,Hedgerows,Open,0.162868292,3.827404852,9,0.068870661,2,47,12.27986111
11,Amenity Grassland,Open,1.531263292,0.689068482,5,0.033858416,20,9,13.06111111
12,Dense Scrub,Closed,0.380771061,1.446930033,3,0.025370661,5,19,13.13125
13,Broadleaved Woodland,Closed,0.609911054,2.592121982,11,0.09624003,8,34,13.11666667
14,Dense Scrub,Closed,3.219247351,2.836003619,15,0.161912389,42,37,13.04652778
16,Amenity Grassland,Open,0.151006711,0.453020134,4,0.030056447,2,6,13.24444444
17,Hedgerows,Open,0,3.999371169,5,0.094282315,0,53,13.25208333
18,Broadleaved Woodland,Closed,0.227368421,0.303157895,3,0.025230652,3,4,13.19444444
19,Dense Scrub,Closed,0.075447972,2.112543225,3,0.023320085,1,28,13.25416667
20,Hedgerows,Open,0.608043914,1.14008234,3,0.039287952,8,15,13.15694444
21,Amenity Grassland,Open,0.759053292,0.607242633,2,0.033834894,10,8,13.17430556
22,Amenity Grassland,Open,0.904419322,0.822199383,14,0.090948863,11,10,12.1625
23,Human Structure,Open,0,1.641025641,18,0.247114125,0,20,12.1875
24,Amenity Grassland,Open,0,1.479029957,14,0.129966372,0,18,12.17013889
25,Dense Scrub,Open,0,0.361137583,5,0.028362345,0,5,13.84513889
26,Dense Scrub,Closed,0,0,4,0.043972592,0,0,12.84722222
27,Broadleaved Woodland,Closed,0.28606193,1.072732239,2,0.028616081,8,30,27.96597222
28,Broadleaved Woodland,Closed,0,1.001283697,1,0.005211995,0,13,12.98333333
29,Hedgerows,Closed,0,0.57029703,2,0.010927041,0,8,14.02777778
30,Dense Scrub,Closed,0,3.514119229,4,0.029039474,0,49,13.94375
31,Broadleaved Woodland,Open,0.21497885,0.644936551,4,0.059655764,3,9,13.95486111
32,Hedgerows,Closed,0,0.481176209,3,0.019828617,0,3,6.234722222
33,Broadleaved Woodland,Closed,0.151284341,0.756421705,1,0.006467257,2,10,13.22013889
34,Tall Herbs,Open,0.039523522,0.474282264,1,0.009512706,1,12,25.30138889
35,Tall Herbs,Open,0,1.605351171,4,0.049641552,0,16,9.966666666
36,Amenity Grassland,Open,0,0.246673899,13,0.113034082,0,3,12.16180556
37,Human Structure,Open,0,1.56102014,7,0.076400271,0,19,12.17152778
38,Dense Scrub,Closed,0,0.507374037,1,0.005260661,0,7,13.79652778
39,Dense Scrub,Closed,0.214253831,0.428507663,6,0.052623691,3,6,14.00208333
40,Dense Scrub,Open,0.504757136,1.009514271,8,0.148266222,7,14,13.86805556
41,Broadleaved Woodland,Closed,0.230966638,0.846877673,5,0.059636753,3,11,12.98888889
42,Broadleaved Woodland,Closed,0.154134332,0.231201499,4,0.025327923,2,3,12.97569444
43,Broadleaved Woodland,Open,0.161979753,1.619797526,2,0.014421179,3,30,18.52083333
44,Dense Scrub,Open,0.07154213,0.286168521,1,0.013090142,1,4,13.97777778
45,Hedgerows,Open,0,0.214701059,2,0.02555163,0,3,13.97291667
46,Hedgerows,Closed,0,0.227009984,1,0.010108892,0,3,13.21527778
47,Amenity Grassland,Open,0,0.91052798,3,0.020063416,0,12,13.17916667
48,Amenity Grassland,Open,0,0.303717374,5,0.053897577,0,4,13.17013889
49,Human Structure,Open,0.082299823,3.785791851,3,0.022146844,1,46,12.15069444
50,Broadleaved Woodland,Closed,0.06725829,0.807099486,4,0.117260415,1,12,14.86805556
51,Broadleaved Woodland,Closed,0,0.071449836,4,0.117260415,0,1,13.99583333
52,Tall Herbs,Open,0,1.58503027,7,0.043505344,0,22,13.87986111
53,Broadleaved Woodland,Open,0,0.26374834,2,0.010282403,0,4,15.16597222
55,Human Structure,Open,0.078112286,0.234336859,5,0.033859399,1,3,12.80208333
56,Broadleaved Woodland,,0.358476475,0.358476475,5,0.037884414,5,5,13.94791667
57,Broadleaved Woodland,Closed,0.071563463,0.930325017,2,0.019438559,1,13,13.97361111
58,Human Structure,Closed,0.214839865,0.143226576,2,0.024252172,3,2,13.96388889
59,Dense Scrub,Closed,0,1.26468328,3,0.033181501,0,16,12.65138889
60,Tall Herbs,Open,0.155297924,0.38824481,4,0.034084694,2,5,12.87847222
61,Amenity Grassland,Open,0,0,2,0.012266443,0,0,5.245833333
62,Amenity Grassland,Open,0,0,3,0.016055964,0,0,12.88472222
63,Tall Herbs,Open,0,0.081934566,6,0.066050359,0,1,12.20486111
64,Human Structure,Closed,0,1.473983508,6,0.075689217,0,18,12.21180556
65,Broadleaved Woodland,Closed,0.150943396,2.817610063,9,0.10957585,3,56,19.875
66,Broadleaved Woodland,Closed,0.315190428,0.052531738,9,0.068642144,6,1,19.03611111
67,Broadleaved Woodland,Open,0.052729869,0,13,0.109490272,1,0,18.96458333
68,Human Structure,Open,0.843925131,0.79117981,8,0.063352926,16,15,18.95902778
69,Dense Scrub,Open,0,0.312144367,1,0.005135449,0,4,12.81458333
70,Broadleaved Woodland,Closed,0,0.703583062,1,0.007522567,0,9,12.79166667
71,Broadleaved Woodland,Closed,0,0.034351964,1,0.021552089,0,1,29.11041667
72,Broadleaved Woodland,Open,0,0.285955419,2,0.017120524,0,4,13.98819444
73,Broadleaved Woodland,Closed,0,0.786728917,3,0.020287966,0,11,13.98194444
74,Broadleaved Woodland,Open,0,0,2,0.019555668,0,0,14.15625
75,Dense Scrub,Closed,0.071471114,0,3,0.023536395,1,0,13.99166667
76,Tall Herbs,Open,0,0,4,0.037306454,0,0,12.85277778
77,Dense Scrub,Open,0.311705179,0.155852589,2,0.018225378,4,2,12.83263889
78,Hedgerows,Open,0,0.54610467,3,0.030455577,0,7,12.81805556
79,Tall Herbs,Open,0,0.64347271,7,0.057394088,0,14,21.75694444
80,Tall Herbs,Open,0,0.50102205,10,0.082729045,0,8,15.96736111
81,Hedgerows,Open,0.688695652,0.375652174,16,0.249782832,11,6,15.97222222
82,Human Structure,Closed,0.050184708,0.100369415,17,0.139905639,1,2,19.92638889
83,Broadleaved Woodland,Closed,0.210958101,1.160269558,13,0.172963956,4,22,18.96111111
84,Tall Herbs,Open,0.104879825,3.356154406,8,0.062685907,1,32,9.534722222
85,Dense Scrub,Closed,0.70057841,0.467052273,0,0,9,6,12.84652778
87,Broadleaved Woodland,Closed,0.43299589,3.127192542,1,0.005287459,9,65,20.78541667
88,Hedgerows,Closed,0,1.237668162,0,0,0,23,18.58333333
89,Human Structure,Closed,0,0.42865648,1,0.0056209,0,6,13.99722222
90,Broadleaved Woodland,Closed,0.499084023,0.85557261,1,0.013138182,7,12,14.02569444
91,Broadleaved Woodland,Closed,0,0,2,0.015525244,0,0,29.03819444
92,Tall Herbs,Open,0,0.18735363,2,0.021062199,0,3,16.0125
93,Hedgerows,Open,0,0.504307628,4,0.022614105,0,5,9.914583333
94,Human Structure,Closed,0.293721699,0.587443397,5,0.042690401,5,10,17.02291667
95,Dense Scrub,Closed,0,0.215784216,7,0.067088482,0,3,13.90277778
96,Hedgerows,Open,0.803197918,2.208794273,14,0.12357009,12,33,14.94027778
97,Amenity Grassland,Open,0.099153068,1.388142945,22,0.242875157,1,14,10.08541667
98,Amenity Grassland,Open,0.396475771,1.685022026,18,0.165172788,4,17,10.08888889
99,Hedgerows,Closed,0.062513566,0.187540699,11,0.101913608,1,3,15.99652778
100,Dense Scrub,Closed,0,0.699859596,0,0,0,9,12.85972222
101,Broadleaved Woodland,Closed,0.155247696,1.241981564,0,0,2,16,12.88263889
102,Human Structure,Closed,0,0.293088008,0,0,0,5,17.05972222
103,Human Structure,Closed,0.215375411,0.358959019,0,0,3,5,13.92916667
104,Amenity Grassland,Closed,0,0.358941124,0,0,0,5,13.92986111
105,Hedgerows,Open,0.143683895,0.287367791,0,0,2,4,13.91944444
106,Broadleaved Woodland,Closed,0.071333036,0.071333036,1,0.00704662,1,1,14.01875
107,Dense Scrub,Closed,0.143077152,0.357692881,2,0.014953733,2,5,13.97847222
108,Human Structure,Closed,0,0.501243163,1,0.028809837,0,7,13.96527778
109,Dense Scrub,Closed,0.357302367,0,4,0.032004334,5,0,13.99375
110,Broadleaved Woodland,Closed,0.066568047,0.732248521,1,0.006457151,1,11,15.02222222
111,Broadleaved Woodland,Closed,0.066491204,0.53192963,0,0,1,8,15.03958333
112,Dense Scrub,Closed,0.285360416,0.71340104,0,0,4,10,14.01736111
113,Tall Herbs,Open,0,0,0,0,0,0,13.93263889
114,Tall Herbs,Open,0,0,0,0,0,0,13.92986111
115,Human Structure,Open,0,1.91904048,0,0,0,8,4.16875
116,Broadleaved Woodland,Closed,0,1.795153087,1,0.005049859,0,25,13.92638889
117,Hedgerows,Closed,0,0,2,0.018193581,0,0,13.94722222
118,Human Structure,Closed,0,0.143297841,2,0.012313104,0,2,13.95694444
119,Hedgerows,Open,0,0.066506558,1,0.012860463,0,1,15.03611111
120,Broadleaved Woodland,Closed,0,0.531414337,0,0,0,8,15.05416667
125,Dense Scrub,Closed,0,0.495654419,2,0.026314624,0,4,8.070138889
126,Hedgerows,Open,0.214137008,0,1,0.007661169,3,0,14.00972222
127,Broadleaved Woodland,Closed,0.426091531,0.520778538,0,0,9,11,21.12222222
128,Broadleaved Woodland,Closed,0,0.794848206,4,0.04183563,0,12,15.09722222
129,Broadleaved Woodland,Closed,0.066012652,0.462088567,2,0.010749673,1,7,15.14861111
132,Human Structure,,0,7.938415693,1,0.011950735,0,111,13.98263889
133,Dense Scrub,Closed,0,0.922950144,2,0.021430404,0,14,15.16875
134,Tall Herbs,Open,0,0.247784565,6,0.046093818,0,2,8.071527778
135,Amenity Grassland,Open,0.35663868,0.285310944,4,0.028795823,10,8,28.03958333
136,Dense Scrub,Closed,1.000645258,0.643271951,4,0.030218104,14,9,13.99097222
137,Hedgerows,Open,0.198593297,3.442283823,3,0.025372075,3,52,15.10625
138,Broadleaved Woodland,Closed,0,1.002386635,0,0,0,14,13.96666667
139,Broadleaved Woodland,Closed,0,0.572649997,1,0.007885455,0,8,13.97013889
140,Human Structure,Closed,0.071599045,4.653937946,3,0.018070534,1,65,13.96666667
141,Human Structure,Closed,0,0.778378379,4,0.057248263,0,11,14.13194444
142,Dense Scrub,Closed,0.602006689,0.501672241,4,0.050165986,12,10,19.93333333
143,Hedgerows,Closed,0.124567474,0.560553633,2,0.016848916,2,9,16.05555556
144,Dense Scrub,Closed,0.06667284,0.20001852,1,0.025576046,1,3,14.99861111
145,Dense Scrub,Closed,0.356718193,0.214030916,1,0.00872161,5,3,14.01666667
146,Tall Herbs,Open,0,0,0,0,0,0,23.84166667
147,Amenity Grassland,Open,0,0.07141086,2,0.060681634,0,1,14.00347222
149,Hedgerows,Open,0.038261239,0.573918589,2,0.014066835,1,15,26.13611111
150,Tall Herbs,Open,0.111145415,0.277863538,1,0.010215646,2,5,17.99444444
